[1.14-13.82] 维维维能听到吗,同学们,电脑的桌面能看到吗,电脑的桌面可以看到吗?
[13.82-50.54] 声音有问题吗?来回复我一下,声音有没有问题,可以是吧?
[50.54-63.99] 然后电脑的桌面能看到吗?很抹污,抹污啊,是吗?
[63.99-94.66] 我看一下,没问题,图像不清晰啊,图像不清晰吗?看不太清楚,哎呀,为什么看不太清楚呢?我用的是高清模式
[94.66-106.66] 现在你们看到的是什么样子的呢?是摄像头有问题吗?我没有用摄像头,我这是展示的分享的电脑的屏幕的桌面
[106.66-130.14] 可以,就是不清晰,那我改一个模式啊,稍等一下,这样子呢,我改了一个300度近视,啊,抹抹污污的
[130.14-160.52] 立志威克这几个字都很抹污,是吗?不应该啊,抹污吗?完全是抹污的呀,哎呀,这个怎么回事啊?是抹污的,不应该是抹污的吧,可以了吗?还是不清楚
[161.52-176.76] 有回音,声音这块,声音没问题吧?你们的告诉给我反馈一下啊,反馈一下声音没有问题的话,咱们就开始了
[176.76-179.76] 图像可以重影抹污
[179.76-188.76] 呃,我怎么在我的手机上我也点了一下,应该是可以,它是清楚的呀,非常清楚,一切正常是吧
[188.76-210.76] 好了,如果有问题的话,你们对没有回音可以很清楚,对,如果有问题的话,然后你们这个及时的跟我说啊,今天我们会按照就是我给大家拟定的教学大纲啊,然后咱们穿换着来啊,不定会讲到哪里,因为咱们是一个动态的课堂啊,不是静态课堂
[210.76-221.76] 动态课堂呢,就这里就是我给大家列了一些之前的这几个战这几个章法吧,按照这个方向来做的,按照这几个方向来做的
[221.76-234.76] 我们今天的这个第一个部分啊,我们实战用的第一个大部分,哎呦,这怎么这个,这一话还挺的什么啊,我们实战用的第一个大部分啊,我们看一下
[235.76-244.76] 主要讲的是这一大块啊,这一大块第一大部分啊,因为是我们所有人需要去了解到的啊,需要去了解到的自己小啊
[245.76-251.76] 小的话,你放大一下就可以了啊,我们第一部分讲的内容呢,其实就是我们实战内容当中的
[252.76-262.76] 就是看盘的环节啊,看盘的水平的高低呢,能决定我们每个人能否在这个市场当中能盈利,就包括我们看今天的市场啊,到底怎么来去看呢
[262.76-273.33] 因为我们很多的同学大部分还都属于小白,小白呢怎么去说呀,就是说对退出去重新登录就好了啊
[275.33-287.33] 咱们我调研一下咱们的同学们吧,我看现在直播间咱们有290个人,上线率还不是非常的多啊,上线率还并不是非常的多
[287.33-298.33] 我调研一下,大家也给我回复一下,我们就是说是小白的打一个1啊,就是连基本的k线,均线,成交量这都不太会看的
[298.33-300.33] 我调研一下咱们打一个1
[302.33-307.33] 我好知道我的教学内容给你们讲的时候的重点啊,往哪个方向去倾斜
[308.33-325.33] 啊,我只想知道小白啊,连k线,连图形,连基本的这个我们股市的这个运行规律大概其实都不太清楚的啊,也不知道怎么来看盘,也不知道什么时候这么多小白吗
[326.33-333.15] 哎呀,你们可是把我吓到了啊,把我吓到了,这么多小白啊,我的天哪
[334.15-342.15] 对,一个人打一个,一个人打一遍一就行了,不要重复打,因为我这眼睛啊,这个你们知道我这劲是度数挺大的
[343.15-348.46] 这要都打的话,我以为你们都是小白了,好,都是1是吧
[350.46-355.46] 对,1.5啊,还有1.5的还比1多一点了是吧
[356.46-360.46] 啊,1.5,就是稍微强点啊,稍微强点,那大家都是小白
[360.46-368.46] 那好了,那就按照我的经验来做,因为大家都知道啊,我是在你面前全都是小白,不能这么说
[369.46-374.46] 然后我们今天晚间的课堂呢,其实非常的轻松,我首先跟大家说的一点是什么呢
[375.46-380.46] 大家都是我的朋友,你们每个人都算是我的朋友,你们也很心疼我
[381.46-385.46] 有的时候累的时候啊,比如说你们问候我啊,我跟你们也,我把你们也当朋友
[386.46-395.46] 实话实说,我们第一期的,我们第一期的学习营啊,咱就300多人,300出点头,300出点头,然后呢
[396.46-404.46] 对,1.8,1.5,不要开玩笑啊,不知道什么是KDJ,DKJ在哪找,好,我给大家一块去演示
[405.46-411.46] 我呢,看到了大部分人还都属于小白,然后呢,我尽量在讲课的课堂当中,都是白富美行
[411.46-418.46] 白富美高富帅,都可以啊,然后咱们就当家人去处啊,就当朋友去处
[419.46-424.46] 我呢,尽量用这一年的时间,因为咱们时间也不太短啊,一年的时间
[425.46-433.46] 我陪你们把我经常看盘的方法,看盘的技巧,慢慢的教给大家,慢慢的教给大家
[434.46-442.46] 然后呢,对,你看上线还是少了好几十人啊,少了好几十人都没事,然后你们呢
[443.46-449.46] 我慢慢的讲,你们也慢慢的听,我想让我用我的话呢,让你们都能听懂
[450.46-456.46] 同时间呢,因为咱们都算是尽我的第一批,因为我从来没有给你们做过这种类型的培训
[457.46-464.46] 啊,上线率已经很高了,行,已经很高就可以了,因为我是第一次给大家做这种类型的培训
